#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1280 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:118 out:115 type:P dur:2 cpbdur:2 q:42.64 aq:40.06 tex:47869 mv:15722 misc:2969 imb:1062 pmb:1145 smb:1393 d:- ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:42.79 aq:43.37 tex:7742 mv:8714 misc:2584 imb:159 pmb:695 smb:2746 d:- ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:42.87 aq:44.43 tex:3865 mv:4342 misc:1745 imb:69 pmb:379 smb:3152 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:42.72 aq:44.67 tex:3833 mv:4443 misc:1740 imb:54 pmb:403 smb:3143 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:42.35 aq:39.65 tex:50280 mv:16699 misc:2997 imb:1069 pmb:1245 smb:1286 d:- ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:42.50 aq:42.92 tex:10905 mv:8905 misc:2702 imb:177 pmb:772 smb:2651 d:- ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:42.57 aq:44.33 tex:4259 mv:5059 misc:1842 imb:64 pmb:453 smb:3083 d:- ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:42.43 aq:43.32 tex:5402 mv:5335 misc:2007 imb:97 pmb:451 smb:3052 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:42.13 aq:39.44 tex:53074 mv:15303 misc:2983 imb:1129 pmb:1106 smb:1365 d:- ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:42.24 aq:41.91 tex:13715 mv:10629 misc:2840 imb:196 pmb:889 smb:2515 d:- ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:42.30 aq:43.89 tex:4525 mv:4445 misc:1878 imb:72 pmb:448 smb:3080 d:- ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:42.19 aq:43.77 tex:5926 mv:5587 misc:2071 imb:82 pmb:539 smb:2979 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:41.87 aq:39.20 tex:47424 mv:15678 misc:2930 imb:1261 pmb:1039 smb:1300 d:- ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:42.00 aq:41.57 tex:13402 mv:10604 misc:2802 imb:259 pmb:812 smb:2529 d:- ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:42.07 aq:42.97 tex:6404 mv:6429 misc:2079 imb:113 pmb:563 smb:2924 d:- ref:0 ;
